Week,Home,Away,HomeScore,AwayScore,Margin,Predicted_Prob,Correct,Vegas,Elo_Diff,QB_Diff,EPA_Diff,HomeRest,AwayRest,HomeTurnovers,AwayTurnovers,Regimes
4,ATL,NO,26.0,24.0,2.0,0.36892509725051015,False,-2.5,-118.90693332070828,-22.685886575309496,-3.205867700278759,7,7,1.0,1.0,"CLOSE_GAME,DIVISION_GAME,EARLY_SEASON"
4,CAR,CIN,24.0,34.0,10.0,0.2998861994486637,True,4.5,-161.7650843474139,28.733139859303037,-10.109160810709,7,6,1.0,1.0,"MEDIUM_SPREAD,EARLY_SEASON,MINOR_REST_ADVANTAGE"
4,CHI,LA,24.0,18.0,6.0,0.3431852107351445,False,-3.0,-85.00101440198773,-31.840762861499798,-2.101870894432068,7,7,0.0,2.0,"MEDIUM_SPREAD,EARLY_SEASON"
4,GB,MIN,29.0,31.0,2.0,0.2768222937420241,True,-2.5,29.319503278527918,-14.810200178046898,-6.864983946084976,7,7,4.0,2.0,"CLOSE_GAME,DIVISION_GAME,EARLY_SEASON"
4,HOU,JAX,24.0,20.0,4.0,0.9543575387399524,True,-5.5,124.33086573935066,66.44164526801683,11.439420998096466,7,6,0.0,0.0,"MEDIUM_SPREAD,DIVISION_GAME,EARLY_SEASON,MINOR_REST_ADVANTAGE"
4,IND,PIT,27.0,24.0,3.0,0.5699869684056769,True,2.5,-112.23008786858009,-21.758448994004084,3.004558563232422,7,7,0.0,2.0,"CLOSE_GAME,EARLY_SEASON"
4,NYJ,DEN,9.0,10.0,1.0,0.6159226484074829,False,-7.5,-6.718106328036129,27.806986731979805,-4.530645728111267,10,7,1.0,1.0,"BLOWOUT_EXPECTED,EARLY_SEASON,MAJOR_REST_ADVANTAGE"
4,TB,PHI,33.0,16.0,17.0,0.8862545263166407,True,1.0,-0.2950460994165951,-21.830312367612578,14.65490984916687,7,7,0.0,1.0,"CLOSE_GAME,EARLY_SEASON"
4,ARI,WAS,14.0,42.0,28.0,0.02032902680869672,True,-3.5,16.882865520035466,-31.63364010475584,-26.61318463087082,7,6,1.0,1.0,"MEDIUM_SPREAD,EARLY_SEASON,MINOR_REST_ADVANTAGE"
4,SF,NE,30.0,13.0,17.0,0.9983796240310466,True,-10.5,197.30916506608173,63.197749117227204,35.97536385059357,7,10,1.0,3.0,"BLOWOUT_EXPECTED,EARLY_SEASON,MAJOR_REST_ADVANTAGE"
4,LAC,KC,10.0,17.0,7.0,0.06851847393370779,True,7.5,-209.46727404337003,-70.35931053218246,-6.503996849060059,7,7,0.0,2.0,"BLOWOUT_EXPECTED,DIVISION_GAME,EARLY_SEASON"
